Year,Anti-Male,Anti-Female,Anti-Transgender,Anti-Gender Identity Expression,Anti-Gay Male,Anti-Gay Female,Anti-Gay (Male and Female),Anti-Heterosexual,Anti-Bisexual
2010,0,0,0,0,2,1,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,2,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,1,1,0,0
2012,0,0,0,0,1,1,0,0,0
2013,0,0,0,0,1,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,1,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,1,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,3,1,1,0,0
2018,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,3,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,12,0,0,0,0
2010,0,0,0,0,1,0,0,0,0
2011,0,0,0,0,1,2,0,0,0
2011,0,0,0,0,1,1,0,0,0
2012,0,0,0,0,4,0,0,0,0
2012,0,0,0,0,0,0,1,0,0
2013,0,0,0,0,9,2,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,2,0,5,0,0,0,0
2014,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,6,2,0,0,0
2015,0,0,0,0,1,0,0,0,0
2016,0,0,0,4,8,1,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,4,7,1,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,1,1,0,0,0
2018,0,0,0,0,0,1,0,0,0
2019,0,0,0,2,1,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,1,0,0,0
2011,0,0,0,0,1,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,1,0,0,0
2013,0,0,1,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,1,0,0,0,0
2016,0,0,0,0,1,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,1,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,1,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,0,1,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
